SPAWNS
ID,Name,Direct Sprite
1,Player Cat Spawn,Player Cat Spawn.png
11,Rat,Rat.png
12,Fly,Fly.png
13,Worm,Worm.png
14,MadLad,
15,Gasser,Gasser.png
16,Kitten,Kitten Portrait.png
17,Mangy,Mangy Portrait.png
18,Tom Tom,Tom Tom Portrait.png
19,Bomb Fly,Bomb Fly.png
20,Leaper,Leaper.png
21,Lumpy,Lumpy Portrait.png
22,Cat Caller,Cat Caller Portrait.png
23,Pinky,Pinky.png
24,Maggot,Maggot.png
25,Flea,Flea.png
26,Pooter,Pooter.png
27,Hive,Hive.png
28,Floating Hive,Floating Hive.png
29,Multi Head Cat,Multi Head Cat.png
30,Glass Spitter,Glass Spitter Portrait.png
31,Siren,Siren Portrait.png
32,Jekyll & Hyde,Jekyll & Hyde Portrait.png
33,Spiky Cat,
34,Popeye Cat,Popeye Cat Portrait.png
35,Gassy Cat,Gassy Cat Portrait.png
36,Sharky,Sharky Portrait.png
37,Boomer,
38,Water Kitten,Water Kitten Portrait.png
39,Cager Maggot,
40,Chargey Maggot,Chargey Maggot.png
41,Swapper Maggot,
42,Tar Baby,Tar Baby.png
43,Chum Bag,Chum Bag.png
44,Chummy,Chummy.png
45,Host,Host.png
46,Pile,Pile.png
47,Floater,Floater.png
48,Water Leech,Water Leech.png
49,Meat Minion,
50,Dip,Dip.png
51,Daddy Shark,Daddy Shark.png
52,Baby Shark,Baby Shark.png
53,Fetus,Fetus.png
54,Fetus Gusher,Fetus Gusher.png
55,Ten Tickles,Ten Tickles.png
56,Korbee,
57,Albino TomTom,
58,Toadie,Toadie Portrait.png
59,Toadie (hidden),
60,Spider Cat,Spider Cat Portrait.png
61,Tall Spider Cat,Tall Spider Cat Portrait.png
62,Bat,Bat.png
63,Brain Drain,
64,Skull Ooze,Skull Ooze Portrait.png
65,Mega Fetus,Mega Fetus.png
66,Zombie Cat,Zombie Cat Portrait.png
67,Skeleton Cat,Skeleton Cat Portrait.png
68,Tall Skeleton Cat,Tall Skeleton Cat Portrait.png
69,Wolf Cat,Wolf Cat Portrait.png
70,Golem Cat,Golem Cat Portrait.png
71,Tatters,Tatters.png
72,Spookie,Spookie.png
73,Scary,Scary.png
74,Reaper,Reaper.png
75,Tall Robes,Tall Robes Portrait.png
76,Shambler,Shambler.png
77,GraveWorm,
78,Butt Zombie,Butt Zombie Portrait.png
79,Tiny Spider,
80,Wisp,Wisp.png
81,Rattlesnek,
82,Skeleton Shambler,Skeleton Shambler Portrait.png
83,Thump,Thump.png
84,Fly Swarm,Fly Swarm.png
85,Bone Worm,
86,Carcus,Carcus.png
87,Peashy,Peashy.png
88,BabyDeathWorm,
89,Death Worm,Death Worm.png
90,Scorpion Cat,Scorpion Cat Portrait.png
91,Mangy 2,
92,Gun Cat,Gun Cat Portrait.png
93,Horny Cat,Horny Cat Portrait.png
94,Atomic Kitten,Atomic Kitten Portrait.png
95,Robo Tom,Robo Tom Portrait.png
96,Cat Cultist,Cat Cultist Portrait.png
97,Cultist,
98,Zealot,
99,Mutant,Mutant Portrait.png
100,Bishop,
